ID_station,nom_station,adresse_station,latitude,longitude,nom_porteur,type_charge,nbre_pdc,type_connecteur,date_maj,observations,source
REN080,ETABLISSEMENT RENAULT DE SAINT-JUST,SAINT-JUST,49.111506,1.450909,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN081,ETABLISSEMENT RENAULT DE CHARTRES,CHARTRES,48.451907,1.524617,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN082,ETABLISSEMENT RENAULT DE DREUX,DREUX,48.746229,1.345312,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN083,ETABLISSEMENT RENAULT DE MAINTENON,MAINTENON,48.580751,1.566065,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN084,ETABLISSEMENT RENAULT DE CHATEAUDUN,CHATEAUDUN,48.058277,1.328237,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN085,ETABLISSEMENT RENAULT DE QUIMPER,QUIMPER,48.000621,-4.14973,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN086,ETABLISSEMENT RENAULT DE CHATEAULIN,CHATEAULIN,48.193518,-4.096869,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN087,ETABLISSEMENT RENAULT DE BREST,BREST,48.404489,-4.464629,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN088,ETABLISSEMENT RENAULT DE CARHAIX-PLOUGUER,CARHAIX-PLOUGUER,48.276758,-3.548992,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN089,ETABLISSEMENT RENAULT DE MORLAIX,MORLAIX,48.57937,-3.801808,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN090,ETABLISSEMENT RENAULT DE CONCARNEAU,CONCARNEAU,47.905077,-3.916087,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN091,ETABLISSEMENT RENAULT DE NIMES,NIMES,43.818254,4.34048,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN092,ETABLISSEMENT RENAULT DE ALES,ALES,44.108375,4.096592,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN093,ETABLISSEMENT RENAULT DE TOULOUSE,TOULOUSE,43.631125,1.43195,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN094,ETABLISSEMENT RENAULT DE TOULOUSE,TOULOUSE,43.571686,1.498247,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN095,ETABLISSEMENT RENAULT DE REVEL,REVEL,43.465918,2.008786,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN096,ETABLISSEMENT RENAULT DE MURET,MURET,43.437363,1.311215,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN097,ETABLISSEMENT RENAULT DE AUCH,AUCH,43.654337,0.622538,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN098,ETABLISSEMENT RENAULT DE MIRANDE,MIRANDE,43.504751,0.397204,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN099,ETABLISSEMENT RENAULT DE LE BOUSCAT,LE BOUSCAT,44.865105,-0.604657,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN100,ETABLISSEMENT RENAULT DE VILLENAVE-D'ORNON,VILLENAVE-D'ORNON,44.771807,-0.562477,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN101,ETABLISSEMENT RENAULT DE LANGON,LANGON,44.523584,-0.240552,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN102,ETABLISSEMENT RENAULT DE LA TESTE-DE-BUCH,LA TESTE-DE-BUCH,44.617507,-1.123529,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN103,ETABLISSEMENT RENAULT DE LORMONT,LORMONT,44.879514,-0.512192,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN104,ETABLISSEMENT RENAULT DE LIBOURNE,LIBOURNE,44.940589,-0.233009,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN105,ETABLISSEMENT RENAULT DE PESSAC,PESSAC,44.799862,-0.662273,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN106,ETABLISSEMENT RENAULT DE PUGNAC,PUGNAC,45.070855,-0.491635,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN107,ETABLISSEMENT RENAULT DE MONTPELLIER,MONTPELLIER,43.584628,3.881447,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN108,ETABLISSEMENT RENAULT DE PEZENAS,PEZENAS,43.450615,3.415778,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN109,ETABLISSEMENT RENAULT DE SETE,SETE,43.419557,3.714513,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN110,ETABLISSEMENT RENAULT DE BEZIERS,BEZIERS,43.334044,3.230726,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN111,ETABLISSEMENT RENAULT DE CLERMONT-L'HERAULT,CLERMONT-L'HERAULT,43.633331,3.439943,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN112,ETABLISSEMENT RENAULT DE SAINT-GELY-DU-FESC,SAINT-GELY-DU-FESC,43.683905,3.809806,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN113,ETABLISSEMENT RENAULT DE FOUGERES,FOUGERES,48.3484,-1.18091,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN114,ETABLISSEMENT RENAULT DE SAINT-MALO,SAINT-MALO,48.654086,-1.993009,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN115,ETABLISSEMENT RENAULT DE VITRE,VITRE,48.12069,-1.177819,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN116,ETABLISSEMENT RENAULT DE REDON,REDON,47.668616,-2.069067,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN117,ETABLISSEMENT RENAULT DE RENNES,RENNES,48.13059,-1.638407,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN118,ETABLISSEMENT RENAULT DE SAINT-MAUR,SAINT-MAUR,46.778225,1.65016,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN119,ETABLISSEMENT RENAULT DE CHAMBRAY-LES-TOURS,CHAMBRAY-LES-TOURS,47.348347,0.700787,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN120,ETABLISSEMENT RENAULT DE CHINON,CHINON,47.182085,0.273962,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN121,ETABLISSEMENT RENAULT DE LOCHES,LOCHES,47.141418,1.001092,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN122,ETABLISSEMENT RENAULT DE GRENOBLE,GRENOBLE,45.173605,5.714596,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN123,ETABLISSEMENT RENAULT DE LA TOUR-DU-PIN,LA TOUR-DU-PIN,45.5679,5.426659,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN124,ETABLISSEMENT RENAULT DE ECHIROLLES,ECHIROLLES,45.141009,5.710189,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN125,ETABLISSEMENT RENAULT DE RIVES,RIVES,45.345462,5.49772,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
REN126,ETABLISSEMENT RENAULT DE VIENNE,VIENNE,45.503113,4.853554,Renault,accélérée,,Type 3c,01/07/2014,Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr,Renault
