"ID_station","nom_station","adresse_station","latitude","longitude","nom_porteur","type_charge","nbre_pdc","type_connecteur","date_maj","observations","source"
"FR*SEO*PAB20087A","Réseau Alterbase - Brion près Thouet - Aire de repos","route de Saumur - 79100 BRION PRES THOUET","47.0539167","-0.18543031","SEOLIS","accélérée",2,"T E/F-T2-T3","2016-05-24T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB13082A","Réseau Alterbase - Cerizay - Mairie","Place Jean Monnet - 79140 CERIZAY","46.821","-0.670187","SEOLIS","accélérée",2,"T E/F-T3","2015-05-10T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB17024A","Réseau Alterbase - Cersay - Place de la Mairie","Place de la Mairie - 79290 CERSAY","47.045597","-0.353478","SEOLIS","accélérée",2,"T E/F-T2-T3","2015-05-10T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB02002A","Réseau Alterbase - Champdeniers-Saint-Denis - Place St Antoine","Place Saint Antoine - 79220 CHAMPDENIERS ST DENIS","46.48549392","-0.40244332","SEOLIS","accélérée",2,"T E/F-T2-T2","2016-05-25T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB33001A","Réseau Alterbase - Châtillon sur Thouet - agence Séolis","Rte de Thouars - 79200 CHATILLON SUR THOUET","46.662615","-0.248314","SEOLIS","accélérée",2,"T E/F-T3","2015-05-10T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB50103A","Réseau Alterbase - Chauray - Le Temple","Rue du Vieux Four - 79180 CHAURAY","46.360322","-0.373516","SEOLIS","accélérée",2,"T E/F-T3","2015-10-27T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB79083P0020A","Réseau Alterbase - Chef-Boutonne - Mairie","Place Cail - 79110 CHEF BOUTONNE","46.1084164","-0.06844854","SEOLIS","accélérée",2,"T E/F-T2-T3","2016-05-24T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB79083P0021A","Réseau Alterbase - Chef-Boutonne - Stade","avenue du Président Kennedy - 79110 CHEF BOUTONNE","46.10834219","-0.07567057","SEOLIS","accélérée",2,"T E/F-T2-T3","2016-05-24T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB12228A","Réseau Alterbase - Chiché - Mairie","Place Saint Martin - 79300 CHICHE","46.796145","-0.358129","SEOLIS","accélérée",2,"T E/F-T3","2015-05-10T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB12228B","Réseau Alterbase - Chiché - Aire de covoiturage","Rte de Clessé - 79300 CHICHE","46.795306","-0.357363","SEOLIS","accélérée",2,"T E/F-T3","2015-05-10T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB84138A","Réseau Alterbase - Clussais-La-Pommeraie - Salle des Fêtes","rte de Lezay - 79190 CLUSSAIS LA POMMERAIE","46.18141519","-0.029774","SEOLIS","accélérée",2,"T E/F-T2-T3","2016-05-24T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB40018A","Réseau Alterbase - Coulon - Aire de l'Autremont","Aire de l'Autremont - 79510 COULON","46.321324","-0.589684","SEOLIS","accélérée",2,"T E/F-T2-T3","2015-10-27T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB79101P0012A","Réseau Alterbase - Coulonges-sur-l'Autize - les Halles","Placde des Halles - 79160 COULONGES SUR L'AUTIZE","46.48260664","-0.59730395","SEOLIS","accélérée",2,"T E/F-T2-T3","2016-05-24T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB07005A","Réseau Alterbase - Courlay - Salle des Fêtes","Place de la Solidarité - 79440 COURLAY","46.779143","-0.567109","SEOLIS","accélérée",2,"T E/F-T2-T3","2015-10-27T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB12008A","Réseau Alterbase - Faye l'Abbesse - Centre","RPT du Général de Gaulle - 79350 FAYE L'ABBESSE","46.830708","-0.352278","SEOLIS","accélérée",2,"T E/F-T2-T3","2015-10-27T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB12002A","Réseau Alterbase - Geay - Place de la Mairie","Place de la Mairie - 79330 GEAY","46.87922","-0.326927","SEOLIS","accélérée",2,"T E/F-T2-T3","2016-05-24T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB31001A","Réseau Alterbase - Lageon - Aire de covoiturage","rte de la Liberté - 79200 LAGEON","46.73014296","-0.23694974","SEOLIS","accélérée",2,"T E/F-T2-T3","2016-05-24T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB79048P0012A","Réseau Alterbase - La Crèche - Gare","Parking de la Gare - 79260 LA CRECHE","46.360436","-0.296639","SEOLIS","accélérée",2,"T E/F-T2-T3","2015-05-10T00:00:00Z","www.alterbase.fr","Alterbase"
"FR*SEO*PAB34119A","Réseau Alterbase - La Ferrière-en-Parthenay - Place de l'Eglise","route de Poitiers - 79350 LA FERRIERE EN PARTHENAY","46.654902","-0.074488","SEOLIS","accélérée",2,"T E/F-T2-T3","2015-05-10T00:00:00Z","www.alterbase.fr","Alterbase"
